
Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#14 - >DIPPA_14961.mRNA.3 product=hypothetical protein ;; inference=protein motif:PFAM:PF07691.11 ;; note=PA14 domain	superfamily	471833	526	649	4.53826e-17	76.6372	cl08459	PA14 superfamily	 - 	 - 
Q#14 - >DIPPA_14961.mRNA.3 product=hypothetical protein ;; inference=protein motif:PFAM:PF07691.11 ;; note=PA14 domain	superfamily	471833	351	464	3.99605e-09	53.5252	cl08459	PA14 superfamily	 - 	 - 
Q#14 - >DIPPA_14961.mRNA.3 product=hypothetical protein ;; inference=protein motif:PFAM:PF07691.11 ;; note=PA14 domain	superfamily	471833	190	301	1.35734e-08	51.9844	cl08459	PA14 superfamily	 - 	 - 
Q#14 - >DIPPA_14961.mRNA.3 product=hypothetical protein ;; inference=protein motif:PFAM:PF07691.11 ;; note=PA14 domain	superfamily	471833	82	141	9.41337e-07	46.9768	cl08459	PA14 superfamily	N	 - 
Q#16 - >DIPPA_13783.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF00564.23,protein motif:PFAM:PF01847.15 ;; note=PB1 domain,VHL beta domain	superfamily	413452	65	116	0.000178396	37.2711	cl02720	PB1 superfamily	N	 - 
Q#16 - >DIPPA_13783.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF00564.23,protein motif:PFAM:PF01847.15 ;; note=PB1 domain,VHL beta domain	superfamily	470794	131	185	0.000779869	35.509	cl03381	pVHL superfamily	C	 - 
Q#17 - >DIPPA_50077.mRNA.1 product=hypothetical protein ;; Target=TR66394__c0_g1_i1__m.11082 1 1474 +,TR66394__c0_g1_i1__m.11082 1 187 + ;; inference=protein motif:PFAM:PF13180.1,protein motif:PFAM:PF04495.9	superfamily	483948	75	114	0.000346826	37.2468	cl49608	PDZ_canonical superfamily	NC	 - 
Q#20 - >DIPPA_16715.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF02872.17 ;; note=5'-nucleotidase, C-terminal domain	specific	427027	301	454	2.42501e-17	76.9411	pfam02872	5_nucleotid_C	 - 	cl37675
Q#21 - >DIPPA_21253.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF08309.10 ;; note=LVIVD repeat	superfamily	285504	41	70	5.67987e-05	38.4713	cl37575	LVIVD superfamily	N	 - 
Q#21 - >DIPPA_21253.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF08309.10 ;; note=LVIVD repeat	superfamily	285504	161	199	6.3916e-05	38.0861	cl37575	LVIVD superfamily	 - 	 - 
Q#22 - >DIPPA_21248.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF08309.10 ;; note=LVIVD repeat	superfamily	285504	157	198	0.000421159	36.1601	cl37575	LVIVD superfamily	 - 	 - 
Q#23 - >DIPPA_07366.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF00092.27 ;; note=von Willebrand factor type A domain	superfamily	459670	102	293	3.90735e-09	54.5884	cl47497	VWA superfamily	 - 	 - 
Q#24 - >DIPPA_35047.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF13180.5 ;; note=PDZ domain	specific	436067	281	318	3.88951e-08	47.908	pfam17820	PDZ_6	C	cl39313
Q#25 - >DIPPA_01943.mRNA.2 product=hypothetical protein ;; inference=protein motif:PFAM:PF01129.17 ;; note=NAD:arginine ADP-ribosyltransferase	superfamily	464943	236	604	5.84239e-09	58.2059	cl37899	CCDC158 superfamily	NC	 - 
Q#25 - >DIPPA_01943.mRNA.2 product=hypothetical protein ;; inference=protein motif:PFAM:PF01129.17 ;; note=NAD:arginine ADP-ribosyltransferase	superfamily	469640	133	173	8.98669e-06	45.9013	cl00173	VIP2 superfamily	N	 - 
Q#25 - >DIPPA_01943.mRNA.2 product=hypothetical protein ;; inference=protein motif:PFAM:PF01129.17 ;; note=NAD:arginine ADP-ribosyltransferase	superfamily	481474	504	833	0.000955201	41.1105	cl47134	SMC_N superfamily	C	 - 
Q#26 - >DIPPA_01943.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF01129.17 ;; note=NAD:arginine ADP-ribosyltransferase	superfamily	464943	482	850	1.55417e-10	63.5987	cl37899	CCDC158 superfamily	NC	 - 
Q#26 - >DIPPA_01943.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF01129.17 ;; note=NAD:arginine ADP-ribosyltransferase	superfamily	469640	379	419	8.54496e-06	46.2865	cl00173	VIP2 superfamily	N	 - 
Q#26 - >DIPPA_01943.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF01129.17 ;; note=NAD:arginine ADP-ribosyltransferase	superfamily	481474	750	1104	0.000169967	43.8069	cl47134	SMC_N superfamily	C	 - 
Q#28 - >DIPPA_15130.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF13637.5 ;; note=Ankyrin repeats (many copies),mitochondrial predicted localisation	specific	372654	18	69	4.44899e-09	46.499	pfam13637	Ank_4	 - 	cl37869
Q#31 - >DIPPA_30029.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF00111.26 ;; note=2Fe-2S iron-sulfur cluster binding domain	specific	395061	77	151	1.16377e-06	42.5111	pfam00111	Fer2	 - 	cl00159
Q#33 - >DIPPA_22598.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF03616.13 ;; note=Sodium/glutamate symporter	superfamily	473169	189	239	0.000277422	39.5998	cl19414	Glt_symporter superfamily	C	 - 
Q#34 - >DIPPA_15866.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF00092.27 ;; note=von Willebrand factor type A domain	superfamily	459670	282	494	1.94664e-10	59.9812	cl47497	VWA superfamily	 - 	 - 
Q#35 - >DIPPA_24114.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF01302.24 ;; note=CAP-Gly domain,nuclear predicted localisation	specific	460154	550	622	6.70215e-22	87.8432	pfam01302	CAP_GLY	 - 	cl47651
Q#36 - >DIPPA_07453.mRNA.2 product=hypothetical protein ;; inference=protein motif:PFAM:PF13202.5 ;; note=EF hand	specific	425435	115	136	0.00292082	32.3726	pfam00036	EF-hand_1	 - 	cl37953
Q#37 - >DIPPA_07453.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF13202.5 ;; note=EF hand	specific	425435	115	136	0.00549004	31.9874	pfam00036	EF-hand_1	 - 	cl37953
Q#40 - >DIPPA_25417.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF00004.28 ;; note=ATPase family associated with various cellular activities (AAA)	superfamily	475120	81	205	9.17644e-06	44.1588	cl28899	DEAD-like_helicase_N superfamily	C	 - 
Q#42 - >DIPPA_23669.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF03798.15 ;; note=TLC domain,plasma_membrane predicted localisation,contains 7 TM domains	specific	461055	112	244	5.01432e-07	47.2725	pfam03798	TRAM_LAG1_CLN8	N	cl02759
Q#43 - >DIPPA_32174.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF13639.5 ;; note=Ring finger domain,nuclear predicted localisation	specific	433370	683	719	9.54543e-08	47.0163	pfam13639	zf-RING_2	 - 	cl17238
Q#44 - >DIPPA_09251.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF05206.13 ;; note=Methyltransferase TRM13	superfamily	473071	301	443	5.7591e-09	54.6094	cl17173	AdoMet_MTases superfamily	N	 - 
Q#45 - >DIPPA_50221.mRNA.1 product=hypothetical protein ;; Target=TR38982__c0_g1_i1__m.4808 1 2122 +,TR38982__c0_g1_i1__m.4808 1 537 + ;; inference=protein motif:PFAM:PF07653.12,protein motif:PFAM:PF00018.23	specific	394975	51	99	1.27229e-05	40.6498	pfam00018	SH3_1	 - 	cl17036
Q#45 - >DIPPA_50221.mRNA.1 product=hypothetical protein ;; Target=TR38982__c0_g1_i1__m.4808 1 2122 +,TR38982__c0_g1_i1__m.4808 1 537 + ;; inference=protein motif:PFAM:PF07653.12,protein motif:PFAM:PF00018.23	specific	426471	436	475	0.00167426	34.7399	pfam01846	FF	 - 	cl02610
Q#46 - >DIPPA_17168.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF00856.27 ;; note=SET domain	specific	459965	111	158	1.94649e-06	44.8214	pfam00856	SET	N	cl47602
Q#47 - >DIPPA_03422.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF07691.11,protein motif:PFAM:PF00754.24 ;; note=PA14 domain,F5/8 type C domain	superfamily	471833	13	105	1.29587e-16	72.4	cl08459	PA14 superfamily	N	 - 
Q#47 - >DIPPA_03422.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF07691.11,protein motif:PFAM:PF00754.24 ;; note=PA14 domain,F5/8 type C domain	specific	459925	139	215	4.27052e-13	62.465	pfam00754	F5_F8_type_C	C	cl47591
Q#48 - >DIPPA_02288.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF06701.12 ;; note=Mib_herc2	superfamily	461991	4570	4636	1.2591e-09	55.2987	cl05972	MIB_HERC2 superfamily	 - 	 - 
Q#48 - >DIPPA_02288.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF06701.12 ;; note=Mib_herc2	superfamily	461991	4812	4867	5.24193e-08	50.6763	cl05972	MIB_HERC2 superfamily	 - 	 - 
Q#48 - >DIPPA_02288.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF06701.12 ;; note=Mib_herc2	superfamily	437068	4737	4775	3.13177e-05	44.6996	cl41950	ADAMTS_CR_3 superfamily	N	 - 
Q#48 - >DIPPA_02288.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF06701.12 ;; note=Mib_herc2	superfamily	284327	4412	4808	0.00560342	40.681	cl25786	SerH superfamily	 - 	 - 
Q#49 - >DIPPA_02289.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF01738.17 ;; note=Dienelactone hydrolase family	superfamily	473884	29	149	0.0016623	36.9459	cl21494	Abhydrolase superfamily	C	 - 
Q#50 - >DIPPA_32850.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF13768.5 ;; note=von Willebrand factor type A domain	superfamily	469594	298	457	2.02917e-07	49.702	cl00057	vWFA superfamily	 - 	 - 
Q#52 - >DIPPA_09450.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF01133.16 ;; note=Enhancer of rudimentary	superfamily	460078	238	280	3.29623e-09	51.4087	cl03112	ER superfamily	N	 - 
Q#53 - >DIPPA_01940.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF01880.17 ;; note=Desulfoferrodoxin	superfamily	469579	200	303	7.4e-10	53.4894	cl00014	SORL superfamily	 - 	 - 
Q#53 - >DIPPA_01940.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF01880.17 ;; note=Desulfoferrodoxin	superfamily	469579	55	146	2.54123e-09	51.9486	cl00014	SORL superfamily	 - 	 - 
Q#54 - >DIPPA_09038.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF00209.17 ;; note=Sodium:neurotransmitter symporter family	superfamily	395155	1	111	1.65661e-06	45.358	cl44410	SNF superfamily	N	 - 
Q#55 - >DIPPA_25441.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF00098.22 ;; note=Zinc knuckle	specific	395050	83	99	0.000113275	37.1222	pfam00098	zf-CCHC	 - 	cl37618
Q#56 - >DIPPA_13438.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF13385.5 ;; note=Concanavalin A-like lectin/glucanases superfamily,plasma_membrane predicted localisation,contains 7 TM domains	superfamily	463865	817	1021	3.00815e-07	49.6898	cl48183	Laminin_G_3 superfamily	 - 	 - 
Q#57 - >DIPPA_23328.mRNA.1 product=hypothetical protein ;; note=plasma_membrane predicted localisation,contains 1 TM domains	superfamily	473071	170	330	0.00570611	36.0041	cl17173	AdoMet_MTases superfamily	 - 	 - 
Q#59 - >DIPPA_08141.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF04577.13 ;; note=Protein of unknown function (DUF563)	superfamily	472831	634	701	0.000209925	39.9855	cl15705	Glyco_transf_61 superfamily	N	 - 
Q#60 - >DIPPA_08014.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF13385.5 ;; note=Concanavalin A-like lectin/glucanases superfamily	superfamily	463865	63	112	3.76832e-06	42.371	cl48183	Laminin_G_3 superfamily	N	 - 
Q#61 - >DIPPA_33436.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF01505.17 ;; note=Major Vault Protein repeat	superfamily	375164	110	346	0.000341754	40.8773	cl38662	DUF5401 superfamily	NC	 - 
Q#62 - >DIPPA_18059.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF00589.21 ;; note=Phage integrase family	superfamily	469662	686	739	4.21621e-08	51.5514	cl00213	DNA_BRE_C superfamily	N	 - 
Q#63 - >DIPPA_50291.mRNA.1 product=hypothetical protein ;; Target=TR102060__c0_g1_i1__m.22541 1 1397 +,TR102060__c0_g1_i1__m.22541 1 280 + ;; inference=protein motif:PFAM:PF12874.2,protein motif:PFAM:PF11817.3	specific	463736	56	80	0.0016779	33.2384	pfam12874	zf-met	 - 	cl44619
Q#63 - >DIPPA_50291.mRNA.1 product=hypothetical protein ;; Target=TR102060__c0_g1_i1__m.22541 1 1397 +,TR102060__c0_g1_i1__m.22541 1 280 + ;; inference=protein motif:PFAM:PF12874.2,protein motif:PFAM:PF11817.3	superfamily	282904	126	234	0.00190024	37.5884	cl37540	Herpes_BLLF1 superfamily	N	 - 
Q#64 - >DIPPA_14394.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF01612.19 ;; note=3'-5' exonuclease	superfamily	447876	4	191	4.84811e-13	64.2451	cl10012	DnaQ_like_exo superfamily	 - 	 - 
Q#65 - >DIPPA_14469.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF00497.19 ;; note=Bacterial extracellular solute-binding proteins, family 3,extracellular predicted localisation	superfamily	473866	45	279	4.82227e-09	53.4492	cl21456	Periplasmic_Binding_Protein_Type_2 superfamily	 - 	 - 
Q#66 - >DIPPA_14464.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF00085.19 ;; note=Thioredoxin,cytoplasmic predicted localisation	superfamily	469754	22	111	1.92868e-06	42.2195	cl00388	Thioredoxin_like superfamily	 - 	 - 
Q#67 - >DIPPA_04336.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF01988.18 ;; note=VIT family	superfamily	460408	10	166	1.67954e-13	64.0025	cl47710	VIT1 superfamily	 - 	 - 
Q#68 - >DIPPA_00993.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF07690.15 ;; note=Major Facilitator Superfamily,plasma_membrane predicted localisation,contains 11 TM domains	superfamily	475125	66	369	0.00270707	38.1679	cl28910	MFS superfamily	 - 	 - 
Q#69 - >DIPPA_00031.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF00168.29 ;; note=C2 domain,nuclear predicted localisation	superfamily	472691	2	54	0.000153149	35.3726	cl14603	C2 superfamily	C	 - 
Q#70 - >DIPPA_00005.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF14774.5 ;; note=FAM177 family,nuclear predicted localisation	superfamily	434199	72	113	2.49193e-10	53.4694	cl20697	FAM177 superfamily	N	 - 
Q#71 - >DIPPA_00001.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF00589.21 ;; note=Phage integrase family	superfamily	469662	686	739	4.21621e-08	51.5514	cl00213	DNA_BRE_C superfamily	N	 - 
Q#72 - >DIPPA_00042.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF00589.21 ;; note=Phage integrase family,mitochondrial predicted localisation	superfamily	469662	105	254	0.000158508	39.6102	cl00213	DNA_BRE_C superfamily	 - 	 - 
Q#74 - >DIPPA_19935.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF04114.13 ;; note=Gaa1-like, GPI transamidase component,plasma_membrane predicted localisation,contains 6 TM domains	superfamily	461181	199	546	9.8206e-08	52.6596	cl47869	Gaa1 superfamily	 - 	 - 
Q#75 - >DIPPA_19997.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF01391.17 ;; note=Collagen triple helix repeat (20 copies)	specific	460189	1183	1234	0.00237717	35.9325	pfam01391	Collagen	 - 	cl22949
Q#75 - >DIPPA_19997.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF01391.17 ;; note=Collagen triple helix repeat (20 copies)	superfamily	367362	995	1241	0.0043559	39.931	cl26620	Glutenin_hmw superfamily	NC	 - 
Q#77 - >DIPPA_32261.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF00313.21 ;; note='Cold-shock' DNA-binding domain	superfamily	471952	10	60	4.79248e-09	50.3184	cl09927	S1_like superfamily	 - 	 - 
Q#77 - >DIPPA_32261.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF00313.21 ;; note='Cold-shock' DNA-binding domain	superfamily	471952	159	223	4.46247e-07	44.5404	cl09927	S1_like superfamily	 - 	 - 
Q#78 - >DIPPA_32269.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF00313.21 ;; note='Cold-shock' DNA-binding domain,cytoplasmic predicted localisation	superfamily	471952	2	65	1.86378e-09	51.0888	cl09927	S1_like superfamily	 - 	 - 
Q#78 - >DIPPA_32269.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF00313.21 ;; note='Cold-shock' DNA-binding domain,cytoplasmic predicted localisation	superfamily	471952	78	144	4.23923e-09	49.9332	cl09927	S1_like superfamily	 - 	 - 
Q#78 - >DIPPA_32269.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF00313.21 ;; note='Cold-shock' DNA-binding domain,cytoplasmic predicted localisation	superfamily	471952	155	221	1.25707e-05	40.3032	cl09927	S1_like superfamily	 - 	 - 
Q#79 - >DIPPA_02749.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF00487.23 ;; note=Fatty acid desaturase	specific	425713	59	273	5.53803e-10	57.3562	pfam00487	FA_desaturase	 - 	cl37993
Q#80 - >DIPPA_02760.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF06108.11 ;; note=Protein of unknown function (DUF952),cytoplasmic predicted localisation	superfamily	470184	9	91	9.00231e-09	46.795	cl01393	DUF952 superfamily	 - 	 - 
Q#81 - >DIPPA_02770.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF01535.19 ;; note=PPR repeat,mitochondrial predicted localisation	superfamily	407303	152	219	0.00784833	36.2205	cl38513	PPR_long superfamily	N	 - 
Q#82 - >DIPPA_02768.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF00226.30 ;; note=DnaJ domain	superfamily	413365	33	67	3.39494e-06	42.0747	cl02542	DnaJ superfamily	N	 - 
Q#84 - >DIPPA_06180.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF00335.19 ;; note=Tetraspanin family,plasma_membrane predicted localisation,contains 4 TM domains	superfamily	459767	72	262	1.55533e-05	42.6913	cl28961	Tetraspanin superfamily	 - 	 - 
Q#85 - >DIPPA_06175.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF09409.9 ;; note=PUB domain	specific	462790	39	89	2.01698e-09	50.3469	pfam09409	PUB	C	cl45994
Q#88 - >DIPPA_13653.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF04756.12 ;; note=OST3 / OST6 family, transporter family	superfamily	461420	321	439	1.3729e-05	44.9289	cl12301	OST3_OST6 superfamily	N	 - 
Q#89 - >DIPPA_50568.mRNA.2 product=hypothetical protein ;; Target=TR84182__c0_g1_i3__m.16925 1 1715 +,TR84182__c0_g1_i3__m.16925 1 445 + ;; inference=protein motif:PFAM:PF11559.3,protein motif:PFAM:PF04156.9,protein motif:PFAM:PF04949.8	superfamily	431111	194	348	0.00263337	38.2643	cl37807	Cast superfamily	N	 - 
Q#90 - >DIPPA_00517.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF00018.27 ;; note=SH3 domain	specific	394975	242	289	3.42905e-11	55.6726	pfam00018	SH3_1	 - 	cl17036
Q#92 - >DIPPA_31708.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF00098.22 ;; note=Zinc knuckle	specific	395050	322	337	0.00068448	34.811	pfam00098	zf-CCHC	 - 	cl37618
Q#95 - >DIPPA_07942.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF00098.22 ;; note=Zinc knuckle	specific	395050	322	337	0.00068448	34.811	pfam00098	zf-CCHC	 - 	cl37618
Q#96 - >DIPPA_07921.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF00622.27 ;; note=SPRY domain	superfamily	459877	1743	1848	0.00172158	39.2484	cl45953	SPRY superfamily	 - 	 - 
Q#97 - >DIPPA_07945.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF06094.11 ;; note=Gamma-glutamyl cyclotransferase, AIG2-like,cytoplasmic predicted localisation	superfamily	451440	26	146	2.1083e-05	40.4501	cl22886	GGCT_like superfamily	 - 	 - 
Q#99 - >DIPPA_31846.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF03798.15 ;; note=TLC domain,plasma_membrane predicted localisation,contains 5 TM domains	specific	461055	55	178	5.11554e-07	47.2725	pfam03798	TRAM_LAG1_CLN8	C	cl02759
Q#100 - >DIPPA_31843.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF05994.10 ;; note=Cytoplasmic Fragile-X interacting family	superfamily	461799	174	217	7.21222e-06	45.7363	cl47941	FragX_IP superfamily	N	 - 
Q#101 - >DIPPA_26328.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF00078.26 ;; note=Reverse transcriptase (RNA-dependent DNA polymerase)	superfamily	477363	151	306	4.4091e-12	62.7052	cl40470	ps-ssRNAv_RdRp-like superfamily	 - 	 - 
Q#103 - >DIPPA_32293.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF00098.22 ;; note=Zinc knuckle	specific	395050	71	86	0.0035107	30.1886	pfam00098	zf-CCHC	 - 	cl37618
Q#104 - >DIPPA_29971.mRNA.1 product=hypothetical protein ;; note=plasma_membrane predicted localisation,contains 7 TM domains	superfamily	282904	319	525	4.98419e-05	45.2924	cl37540	Herpes_BLLF1 superfamily	NC	 - 
Q#106 - >DIPPA_23803.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF00313.21 ;; note='Cold-shock' DNA-binding domain	specific	278729	203	270	1.74484e-15	67.6524	pfam00313	CSD	 - 	cl09927
Q#107 - >DIPPA_23780.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF03351.16 ;; note=DOMON domain	superfamily	460893	269	373	1.26396e-09	53.9023	cl47804	DOMON superfamily	 - 	 - 
Q#107 - >DIPPA_23780.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF03351.16 ;; note=DOMON domain	superfamily	460893	93	195	0.001419	36.5683	cl47804	DOMON superfamily	N	 - 
Q#110 - >DIPPA_23748.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF00849.21 ;; note=RNA pseudouridylate synthase	superfamily	459961	16	101	5.84044e-08	50.0964	cl47600	PseudoU_synth_2 superfamily	C	 - 
Q#111 - >DIPPA_23730.mRNA.1 product=hypothetical protein ;; inference=protein motif:PFAM:PF12807.6 ;; note=Translation initiation factor eIF3 subunit 135	superfamily	472759	1037	1100	6.61643e-07	50.2617	cl15102	CLU-central superfamily	C	 - 
